REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,18-29,70+,P_EDUARDO ARTES_18-29,P_FRANCO ALDO PARISI_18-29,P_GABRIEL BORIC_18-29,P_JOSE ANTONIO KAST_18-29,P_MARCO ENRIQUEZ-OMINAMI_18-29,P_NULO BLANCO_18-29,P_SEBASTIAN SICHEL_18-29,P_YASNA PROVOSTE_18-29,P_EDUARDO ARTES_30-39,P_FRANCO ALDO PARISI_30-39,P_GABRIEL BORIC_30-39,P_JOSE ANTONIO KAST_30-39,P_MARCO ENRIQUEZ-OMINAMI_30-39,P_NULO BLANCO_30-39,P_SEBASTIAN SICHEL_30-39,P_YASNA PROVOSTE_30-39,P_EDUARDO ARTES_40-49,P_FRANCO ALDO PARISI_40-49,P_GABRIEL BORIC_40-49,P_JOSE ANTONIO KAST_40-49,P_MARCO ENRIQUEZ-OMINAMI_40-49,P_NULO BLANCO_40-49,P_SEBASTIAN SICHEL_40-49,P_YASNA PROVOSTE_40-49,P_EDUARDO ARTES_50-59,P_FRANCO ALDO PARISI_50-59,P_GABRIEL BORIC_50-59,P_JOSE ANTONIO KAST_50-59,P_MARCO ENRIQUEZ-OMINAMI_50-59,P_NULO BLANCO_50-59,P_SEBASTIAN SICHEL_50-59,P_YASNA PROVOSTE_50-59,P_EDUARDO ARTES_60-69,P_FRANCO ALDO PARISI_60-69,P_GABRIEL BORIC_60-69,P_JOSE ANTONIO KAST_60-69,P_MARCO ENRIQUEZ-OMINAMI_60-69,P_NULO BLANCO_60-69,P_SEBASTIAN SICHEL_60-69,P_YASNA PROVOSTE_60-69,P_EDUARDO ARTES_70+,P_FRANCO ALDO PARISI_70+,P_GABRIEL BORIC_70+,P_JOSE ANTONIO KAST_70+,P_MARCO ENRIQUEZ-OMINAMI_70+,P_NULO BLANCO_70+,P_SEBASTIAN SICHEL_70+,P_YASNA PROVOSTE_70+,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,37V,0,9,77,31,16,23,0,0,33,0,4,19,5,49,39,38,27,9,189,653,-1,-1,3,11,59,44,19,2,27,24,23,36,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,-3.0,-2.0,18.0,-13.0,-3.0,-2.0,-4.0,9.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,38V,2,8,56,39,20,21,0,2,29,2,2,15,2,45,42,34,29,9,177,653,-1,-1,3,9,54,42,19,2,25,23,17,38,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,-1.0,-1.0,2.0,-3.0,1.0,0.0,-4.0,6.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,39V,3,8,39,33,20,27,1,0,23,1,2,19,5,31,44,24,25,4,154,653,-1,-1,3,9,49,35,16,1,22,19,21,29,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,0.0,-1.0,-10.0,-2.0,4.0,0.0,5.0,4.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,40V,4,11,51,35,20,22,0,3,15,3,1,19,4,42,34,38,19,4,161,653,-1,-1,2,10,51,37,17,1,23,20,20,23,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,2.0,1.0,0.0,-2.0,3.0,2.0,-1.0,-5.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,41V,3,8,45,37,25,29,3,0,22,3,1,13,3,48,30,31,39,7,172,653,-1,-1,2,9,51,41,18,2,25,24,14,46,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,1.0,-1.0,-6.0,-4.0,7.0,1.0,4.0,-2.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,42V,7,10,54,35,17,28,0,0,19,0,2,17,6,52,32,35,20,6,170,653,-1,-1,3,10,54,39,18,1,24,21,19,26,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,4.0,0.0,0.0,-4.0,-1.0,-1.0,4.0,-2.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,43V,1,10,51,38,22,25,0,3,22,3,3,25,5,47,25,32,28,7,172,653,-1,-1,3,10,55,39,18,2,24,21,28,35,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,-2.0,0.0,-4.0,-1.0,4.0,1.0,1.0,1.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,44V,5,11,44,48,17,25,1,0,25,1,2,24,1,39,48,25,33,5,176,653,-1,-1,3,10,56,40,18,2,25,22,26,38,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,2.0,1.0,-12.0,8.0,-1.0,-1.0,0.0,3.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,45V,2,9,67,43,20,21,1,0,26,1,6,18,6,54,37,33,28,8,189,653,-1,-1,3,11,60,43,20,2,26,24,24,36,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,-1.0,-2.0,7.0,0.0,0.0,-1.0,-5.0,2.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,46V,3,12,51,41,16,20,1,0,27,1,3,19,6,53,42,22,21,5,171,653,-1,-1,3,10,56,39,18,2,23,20,22,26,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,0.0,2.0,-5.0,2.0,-2.0,-1.0,-3.0,7.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,47V,2,16,47,39,22,23,0,0,30,0,2,15,5,47,29,43,35,4,179,653,-1,-1,2,10,54,43,18,2,26,24,17,39,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,0.0,6.0,-7.0,-4.0,4.0,-2.0,-3.0,6.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,48V,3,12,65,47,9,20,1,2,32,3,5,15,4,38,37,50,35,7,191,653,-1,-1,3,10,57,46,20,2,28,25,20,42,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,0.0,2.0,8.0,1.0,-11.0,1.0,-8.0,7.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,49V,2,14,49,33,18,27,0,1,34,1,5,22,5,41,39,29,26,12,178,653,-1,-1,3,10,57,41,18,2,25,22,27,38,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,-1.0,4.0,-8.0,-8.0,0.0,-1.0,2.0,12.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,50V,1,6,49,36,16,25,1,2,27,3,6,18,5,35,31,31,29,8,163,653,-1,-1,3,9,51,37,17,2,23,21,24,37,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,-2.0,-3.0,-2.0,-1.0,-1.0,1.0,2.0,6.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,51V,3,10,49,50,19,31,1,0,26,1,5,22,6,53,30,41,27,5,189,653,-1,-1,3,12,60,43,20,2,26,23,27,32,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,0.0,-2.0,-11.0,7.0,-1.0,-1.0,5.0,3.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 2,52V,4,14,48,36,11,29,1,2,23,3,7,17,8,32,43,30,27,4,168,653,-1,-1,3,10,54,38,17,2,23,21,24,31,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,1.0,4.0,-6.0,-2.0,-6.0,1.0,6.0,2.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 2,53V,2,7,49,42,24,26,0,0,26,0,2,12,5,52,37,37,22,9,176,653,-1,-1,3,10,54,42,18,1,25,23,14,31,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,-1.0,-3.0,-5.0,0.0,6.0,-1.0,1.0,3.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 2,54V,1,9,54,40,18,27,1,1,17,2,3,12,5,57,36,21,28,6,168,653,-1,-1,3,9,53,39,18,1,23,22,15,34,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,-2.0,0.0,1.0,1.0,0.0,1.0,4.0,-5.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 2,55V,5,9,49,31,23,27,1,2,25,3,4,14,2,47,24,46,30,5,172,653,-1,-1,2,9,52,41,18,2,25,23,18,35,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,3.0,0.0,-3.0,-10.0,5.0,1.0,2.0,2.0
METROPOLITANA DE SANTIAGO,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 2,56V,3,7,48,30,21,17,1,3,17,4,3,28,2,38,35,24,14,3,147,653,-1,-1,3,10,50,32,15,1,20,16,31,17,0.036544700538463024,0.12693789617029133,0.5168311774135546,0.11079451037346737,0.08072541823068603,0.012699729951652314,0.08395422256711327,0.03151234475477311,0.02381654540832492,0.12550728601844446,0.43458983600876044,0.18427154549971564,0.08571154586088373,0.006833809157146693,0.09158918757741243,0.04768024446931226,0.017789392370861738,0.06357802429705807,0.3463563834970346,0.22215883483710594,0.11425336912300134,0.002385244903534425,0.11836974922583916,0.11510900174556486,0.017167496673547014,0.04295147467246166,0.324735477138618,0.24323747077408148,0.11832499707809294,0.008069769002569463,0.13737125130354674,0.10814206335708207,0.005859088675529489,0.0501495609341944,0.24194388936655595,0.2811572457137551,0.09847699848972857,0.007598848780069213,0.1766990864709451,0.1381152815692221,0.00620738907936573,0.02009753857155552,0.18098804032552532,0.26862029712274993,0.09762801499270793,0.020053594020154684,0.18468946625156485,0.22171565963637654,0.0,-3.0,-2.0,-2.0,6.0,3.0,-3.0,1.0
