REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,21V,1,33,19,38,6,20,1,3,29,4,2,4,2,11,3,28,4,3,35,2,39,0,16,0,1,0,150,98,-1,-1,1,29,24,39,11,3,19,24,57,93,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,0.0,4.0,-5.0,-1.0,-5.0,1.0,1.0,5.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,22V,1,39,24,37,13,15,0,1,23,1,3,4,5,8,2,45,2,8,30,0,29,0,12,1,4,0,153,98,-1,-1,2,33,25,39,10,2,19,23,77,76,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,-1.0,6.0,-1.0,-2.0,3.0,-1.0,-4.0,0.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,23V,2,36,24,50,13,18,1,2,20,3,2,4,8,9,2,42,1,0,36,0,44,1,14,0,2,1,166,98,-1,-1,2,33,26,43,12,3,21,26,68,98,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,0.0,3.0,-2.0,7.0,1.0,0.0,-3.0,-6.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,24V,2,33,26,39,11,15,0,1,31,1,2,6,11,4,3,36,3,6,27,3,34,1,16,2,4,0,158,98,-1,-1,2,33,26,40,11,3,19,24,71,87,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,0.0,0.0,0.0,-1.0,0.0,-2.0,-4.0,7.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,25V,3,34,30,37,12,25,2,0,14,2,0,0,13,16,0,44,0,3,42,0,25,0,11,1,2,0,157,98,-1,-1,2,33,26,40,11,3,19,23,76,81,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,1.0,1.0,4.0,-3.0,1.0,-1.0,6.0,-9.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,26V,0,26,32,27,6,14,2,2,22,4,3,3,4,8,2,42,1,0,28,2,25,2,9,1,1,0,131,98,-1,-1,1,28,21,34,9,2,16,20,63,68,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,-1.0,-2.0,11.0,-7.0,-3.0,2.0,-2.0,2.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,27V,1,42,27,36,13,25,1,2,20,3,1,1,4,16,3,58,5,2,30,0,32,2,12,0,0,1,167,98,-1,-1,2,37,28,42,11,3,20,24,90,77,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,-1.0,5.0,-1.0,-6.0,2.0,0.0,5.0,-4.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,28V,3,35,24,37,6,14,2,0,23,2,3,2,8,6,3,40,1,2,40,2,25,0,9,0,3,0,144,98,-1,-1,2,30,23,37,10,2,18,22,65,79,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,1.0,5.0,1.0,0.0,-4.0,0.0,-4.0,1.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,29V,3,25,26,44,12,15,2,2,18,4,3,3,8,39,3,14,0,3,31,2,24,2,11,0,4,0,147,98,-1,-1,2,31,24,38,10,2,18,22,73,74,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,1.0,-6.0,2.0,6.0,2.0,2.0,-3.0,-4.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,30V,3,37,31,43,7,26,2,0,28,2,4,3,5,41,3,4,17,2,57,3,21,2,12,3,1,0,177,98,-1,-1,2,36,29,46,12,3,22,27,79,99,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,1.0,1.0,2.0,-3.0,-5.0,-1.0,4.0,1.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,31V,2,25,24,46,9,20,0,1,34,1,1,3,7,44,3,3,59,1,21,1,9,1,8,0,0,0,161,98,-1,-1,2,41,29,40,10,2,18,19,121,40,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,0.0,-16.0,-5.0,6.0,-1.0,-1.0,2.0,15.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,32V,3,35,35,46,7,15,1,1,27,2,1,2,6,34,5,8,48,8,35,1,15,0,6,0,1,0,170,98,-1,-1,2,41,30,42,11,2,20,22,112,58,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,1.0,-6.0,5.0,4.0,-4.0,0.0,-5.0,5.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,33V,1,42,29,31,9,13,0,0,18,0,3,2,6,37,3,2,47,3,27,1,8,0,4,0,0,0,143,98,-1,-1,2,35,26,35,9,2,17,17,103,40,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,-1.0,7.0,3.0,-4.0,0.0,-2.0,-4.0,1.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,34V,0,41,21,31,18,16,0,3,22,3,3,1,8,33,1,2,53,0,27,3,14,3,3,1,0,0,152,98,-1,-1,2,36,27,38,10,2,18,19,101,51,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,-2.0,5.0,-6.0,-7.0,8.0,1.0,-2.0,3.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,35V,1,46,22,27,12,10,2,0,16,2,4,2,2,29,3,1,49,2,24,4,12,0,3,0,0,1,136,98,-1,-1,1,33,24,34,9,2,16,17,92,44,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,0.0,13.0,-2.0,-7.0,3.0,0.0,-6.0,-1.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,36V,0,42,27,44,10,11,1,2,23,3,2,4,8,44,3,2,49,2,23,1,15,0,5,2,0,0,160,98,-1,-1,2,39,28,40,10,2,19,20,114,46,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,-2.0,3.0,-1.0,4.0,0.0,1.0,-8.0,3.0
DEL MAULE,CONSTITUCION,COLEGIO SAN ALBERTO HURTADO,37V,1,31,28,40,4,19,1,2,23,3,3,2,8,32,1,2,65,2,13,0,13,0,6,1,1,0,149,98,-1,-1,2,38,27,37,9,2,17,17,115,34,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,-1.0,-7.0,1.0,3.0,-5.0,1.0,2.0,6.0
DEL MAULE,CONSTITUCION,COLEGIO SANTIAGO ONEDERRA,41M,3,38,30,58,9,19,1,1,25,2,1,2,2,8,16,58,7,43,1,27,4,7,0,2,1,4,184,98,-1,-1,2,46,33,45,12,3,21,22,137,46,0.011141082452103638,0.28979150782067103,0.19659293890452448,0.2374380089203152,0.056668455029763906,0.00933100915665501,0.10837540020911597,0.09066159750685064,0.010089264445728555,0.1384191199026723,0.13412472300599104,0.2730299271447499,0.07938831720120325,0.023257994769204007,0.13694816927724987,0.20474248425320102,1.0,-8.0,-3.0,13.0,-3.0,-1.0,-2.0,3.0
