REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DE LOS LAGOS,PUERTO OCTAY,ESCUELA ALBERTO HURTADO,10M,0,27,28,48,8,12,0,0,30,0,0,0,35,8,5,9,2,40,2,28,2,15,1,3,0,3,153,27,-1,-1,1,26,26,48,6,2,11,33,99,54,0.001077884507567007,0.21343402773219575,0.1882769003058662,0.33137479740867026,0.037347943408951374,0.00815623858969293,0.055652896470710915,0.16467931157634566,0.016852772193457526,0.09178000417484314,0.1330147609953263,0.27762205858340794,0.05412630193411258,0.019294356985973673,0.09884330059250213,0.3084664445403767,-1.0,1.0,2.0,0.0,2.0,-2.0,1.0,-3.0
DE LOS LAGOS,PUERTO OCTAY,ESCUELA ALBERTO HURTADO,11M,1,27,31,50,12,17,1,0,45,1,1,1,8,17,5,48,6,32,3,30,7,14,1,8,0,3,184,27,-1,-1,1,31,31,58,8,2,13,40,118,66,0.001077884507567007,0.21343402773219575,0.1882769003058662,0.33137479740867026,0.037347943408951374,0.00815623858969293,0.055652896470710915,0.16467931157634566,0.016852772193457526,0.09178000417484314,0.1330147609953263,0.27762205858340794,0.05412630193411258,0.019294356985973673,0.09884330059250213,0.3084664445403767,0.0,-4.0,0.0,-8.0,4.0,-1.0,4.0,5.0
DE LOS LAGOS,PUERTO OCTAY,ESCUELA ALBERTO HURTADO,12M,0,25,20,44,3,9,1,0,39,1,2,1,7,7,8,47,6,28,1,17,2,11,1,2,0,1,141,27,-1,-1,1,26,25,45,6,1,9,28,106,35,0.001077884507567007,0.21343402773219575,0.1882769003058662,0.33137479740867026,0.037347943408951374,0.00815623858969293,0.055652896470710915,0.16467931157634566,0.016852772193457526,0.09178000417484314,0.1330147609953263,0.27762205858340794,0.05412630193411258,0.019294356985973673,0.09884330059250213,0.3084664445403767,-1.0,-1.0,-5.0,-1.0,-3.0,0.0,0.0,11.0
DE LOS LAGOS,PUERTO OCTAY,ESCUELA ALBERTO HURTADO,1M,3,13,15,25,7,12,1,0,26,1,1,1,6,4,4,0,1,1,1,21,1,30,1,17,5,8,102,27,-1,-1,1,12,15,29,5,2,9,29,18,84,0.001077884507567007,0.21343402773219575,0.1882769003058662,0.33137479740867026,0.037347943408951374,0.00815623858969293,0.055652896470710915,0.16467931157634566,0.016852772193457526,0.09178000417484314,0.1330147609953263,0.27762205858340794,0.05412630193411258,0.019294356985973673,0.09884330059250213,0.3084664445403767,2.0,1.0,0.0,-4.0,2.0,-1.0,3.0,-3.0
DE LOS LAGOS,PUERTO OCTAY,ESCUELA ALBERTO HURTADO,2M,1,12,19,34,1,11,0,2,39,2,0,1,5,10,1,0,2,0,5,29,14,22,5,17,0,8,119,27,-1,-1,2,13,17,34,6,2,11,34,19,100,0.001077884507567007,0.21343402773219575,0.1882769003058662,0.33137479740867026,0.037347943408951374,0.00815623858969293,0.055652896470710915,0.16467931157634566,0.016852772193457526,0.09178000417484314,0.1330147609953263,0.27762205858340794,0.05412630193411258,0.019294356985973673,0.09884330059250213,0.3084664445403767,-1.0,-1.0,2.0,0.0,-5.0,0.0,0.0,5.0
DE LOS LAGOS,PUERTO OCTAY,ESCUELA ALBERTO HURTADO,3M,2,10,17,30,8,17,1,0,39,1,1,0,4,5,3,1,2,2,19,23,2,41,2,17,0,3,124,27,-1,-1,2,14,17,35,6,2,12,36,18,107,0.001077884507567007,0.21343402773219575,0.1882769003058662,0.33137479740867026,0.037347943408951374,0.00815623858969293,0.055652896470710915,0.16467931157634566,0.016852772193457526,0.09178000417484314,0.1330147609953263,0.27762205858340794,0.05412630193411258,0.019294356985973673,0.09884330059250213,0.3084664445403767,0.0,-4.0,0.0,-5.0,2.0,-1.0,5.0,3.0
DE LOS LAGOS,PUERTO OCTAY,ESCUELA ALBERTO HURTADO,4M,2,21,10,33,9,11,4,1,38,5,1,0,1,2,2,3,27,0,5,27,1,31,0,21,0,9,129,27,-1,-1,2,16,19,38,6,2,11,35,36,94,0.001077884507567007,0.21343402773219575,0.1882769003058662,0.33137479740867026,0.037347943408951374,0.00815623858969293,0.055652896470710915,0.16467931157634566,0.016852772193457526,0.09178000417484314,0.1330147609953263,0.27762205858340794,0.05412630193411258,0.019294356985973673,0.09884330059250213,0.3084664445403767,0.0,5.0,-9.0,-5.0,3.0,3.0,0.0,3.0
DE LOS LAGOS,PUERTO OCTAY,ESCUELA ALBERTO HURTADO,5M,2,28,15,48,8,5,0,3,35,3,0,0,7,4,13,2,27,7,4,22,4,34,1,15,0,4,144,27,-1,-1,1,21,22,43,7,2,12,36,60,84,0.001077884507567007,0.21343402773219575,0.1882769003058662,0.33137479740867026,0.037347943408951374,0.00815623858969293,0.055652896470710915,0.16467931157634566,0.016852772193457526,0.09178000417484314,0.1330147609953263,0.27762205858340794,0.05412630193411258,0.019294356985973673,0.09884330059250213,0.3084664445403767,1.0,7.0,-7.0,5.0,1.0,1.0,-7.0,-1.0
DE LOS LAGOS,PUERTO OCTAY,ESCUELA ALBERTO HURTADO,6M,1,21,13,43,4,11,0,0,35,0,1,1,4,4,34,1,4,2,3,35,0,23,1,14,0,1,128,27,-1,-1,1,18,20,38,6,2,11,32,51,77,0.001077884507567007,0.21343402773219575,0.1882769003058662,0.33137479740867026,0.037347943408951374,0.00815623858969293,0.055652896470710915,0.16467931157634566,0.016852772193457526,0.09178000417484314,0.1330147609953263,0.27762205858340794,0.05412630193411258,0.019294356985973673,0.09884330059250213,0.3084664445403767,0.0,3.0,-7.0,5.0,-2.0,-2.0,0.0,3.0
DE LOS LAGOS,PUERTO OCTAY,ESCUELA ALBERTO HURTADO,7M,1,27,23,38,10,11,0,1,28,1,0,0,0,2,43,0,1,0,3,32,4,31,4,13,0,6,139,27,-1,-1,2,18,21,41,7,2,12,36,46,93,0.001077884507567007,0.21343402773219575,0.1882769003058662,0.33137479740867026,0.037347943408951374,0.00815623858969293,0.055652896470710915,0.16467931157634566,0.016852772193457526,0.09178000417484314,0.1330147609953263,0.27762205858340794,0.05412630193411258,0.019294356985973673,0.09884330059250213,0.3084664445403767,-1.0,9.0,2.0,-3.0,3.0,-1.0,-1.0,-8.0
