REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE,H,M,P_EDUARDO ARTES_H,P_FRANCO ALDO PARISI_H,P_GABRIEL BORIC_H,P_JOSE ANTONIO KAST_H,P_MARCO ENRIQUEZ-OMINAMI_H,P_NULO BLANCO_H,P_SEBASTIAN SICHEL_H,P_YASNA PROVOSTE_H,P_EDUARDO ARTES_M,P_FRANCO ALDO PARISI_M,P_GABRIEL BORIC_M,P_JOSE ANTONIO KAST_M,P_MARCO ENRIQUEZ-OMINAMI_M,P_NULO BLANCO_M,P_SEBASTIAN SICHEL_M,P_YASNA PROVOSTE_M,DIF_EDUARDO ARTES,DIF_FRANCO ALDO PARISI,DIF_GABRIEL BORIC,DIF_JOSE ANTONIO KAST,DIF_MARCO ENRIQUEZ-OMINAMI,DIF_NULO BLANCO,DIF_SEBASTIAN SICHEL,DIF_YASNA PROVOSTE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO CARLOS CONDELL DE LA HAZA,65,1,31,53,24,9,16,3,0,9,3,0,3,62,68,2,2,2,1,1,1,0,1,2,1,0,0,146,132,-1,-1,3,31,42,34,11,1,12,12,140,6,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,-2.0,0.0,11.0,-10.0,-2.0,2.0,4.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO CARLOS CONDELL DE LA HAZA,66,3,26,39,28,8,16,2,0,7,2,2,3,41,43,7,6,5,10,3,5,0,1,1,1,1,1,129,132,-1,-1,2,26,37,31,10,1,11,11,117,13,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,1.0,0.0,2.0,-3.0,-2.0,1.0,5.0,-4.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO CARLOS CONDELL DE LA HAZA,67,0,19,50,31,14,32,1,1,15,2,2,2,19,15,10,26,10,6,12,26,14,15,3,1,1,1,163,132,-1,-1,2,25,40,38,15,3,17,23,90,73,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,-2.0,-6.0,10.0,-7.0,-1.0,-1.0,15.0,-8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO CARLOS CONDELL DE LA HAZA,68,4,35,46,40,13,7,0,0,15,0,1,2,43,48,15,17,14,12,3,3,1,1,0,0,0,0,160,132,-1,-1,3,33,46,38,13,1,13,13,152,8,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,1.0,2.0,0.0,2.0,0.0,-1.0,-6.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO CARLOS CONDELL DE LA HAZA,69,3,28,52,20,13,10,0,0,6,0,0,1,40,53,2,7,6,4,5,6,1,3,0,3,0,1,132,132,-1,-1,2,26,37,31,11,1,12,12,113,19,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,1.0,2.0,15.0,-11.0,2.0,-1.0,-2.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO CARLOS CONDELL DE LA HAZA,70,2,30,42,38,11,11,0,2,8,2,0,1,46,58,5,5,4,4,4,4,2,4,4,1,0,2,144,132,-1,-1,2,28,40,34,12,1,13,14,123,21,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,0.0,2.0,2.0,4.0,-1.0,1.0,-2.0,-6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO CARLOS CONDELL DE LA HAZA,71,3,23,43,32,12,12,1,4,11,5,4,0,39,58,3,3,3,7,9,4,3,3,3,2,0,0,141,132,-1,-1,2,27,39,33,12,1,13,14,117,24,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,1.0,-4.0,4.0,-1.0,0.0,4.0,-1.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,19V,1,24,44,32,17,16,2,2,26,4,1,2,8,6,0,40,0,8,34,2,39,3,13,2,5,2,164,132,-1,-1,2,21,37,39,16,3,19,27,65,100,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,-1.0,3.0,7.0,-7.0,1.0,1.0,-3.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,20V,1,19,32,35,14,16,0,5,24,5,1,2,5,8,3,42,0,2,20,4,32,0,20,2,4,0,146,132,-1,-1,1,20,34,34,14,3,17,23,63,82,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,0.0,-1.0,-2.0,1.0,0.0,2.0,-1.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,21V,2,23,41,44,17,19,3,0,27,3,0,2,7,8,1,38,1,2,42,3,40,0,22,0,10,0,176,132,-1,-1,2,21,39,41,18,4,21,30,59,117,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,0.0,2.0,2.0,3.0,-1.0,-1.0,-2.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,22V,5,14,39,43,14,17,2,1,25,3,1,1,10,17,2,51,2,4,25,3,25,0,10,0,10,0,160,132,-1,-1,2,24,39,38,15,3,17,22,88,73,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,3.0,-10.0,0.0,5.0,-1.0,0.0,0.0,3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,23V,3,24,42,42,20,27,0,3,17,3,2,1,8,7,3,54,4,3,48,3,24,1,13,2,5,0,178,132,-1,-1,2,25,42,42,17,3,20,27,82,96,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,1.0,-1.0,0.0,0.0,3.0,0.0,7.0,-10.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,24V,0,25,34,42,12,14,2,2,31,4,2,2,5,6,0,44,5,2,32,1,33,1,25,0,4,0,162,132,-1,-1,2,21,37,38,16,3,19,26,66,96,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,-2.0,4.0,-3.0,4.0,-4.0,1.0,-5.0,5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,25V,1,19,40,30,15,28,1,1,28,2,2,1,5,8,4,39,0,4,43,5,26,1,17,0,7,0,163,132,-1,-1,2,21,37,38,16,3,19,27,63,99,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,-1.0,-2.0,3.0,-8.0,-1.0,-1.0,9.0,1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,26V,1,22,39,29,15,19,2,2,26,4,3,5,6,4,1,49,1,1,34,2,31,1,10,0,7,0,155,132,-1,-1,2,21,36,36,15,3,18,24,70,85,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,-1.0,1.0,3.0,-7.0,0.0,1.0,1.0,2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,27V,1,27,36,38,15,18,0,2,35,2,1,2,3,5,2,55,1,2,40,6,32,0,15,0,8,0,172,132,-1,-1,2,23,39,41,17,3,20,27,71,101,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,-1.0,4.0,-3.0,-3.0,-2.0,-1.0,-2.0,8.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,28V,1,25,41,41,14,15,2,2,31,4,2,1,4,7,2,54,2,5,38,2,36,1,15,0,2,0,172,132,-1,-1,2,24,40,41,16,3,20,26,77,94,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,-1.0,1.0,1.0,0.0,-2.0,1.0,-5.0,5.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,29V,2,16,24,37,16,12,3,1,36,4,1,0,3,4,0,37,1,1,27,1,45,0,21,1,4,0,147,132,-1,-1,2,17,32,35,15,3,18,25,47,99,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,0.0,-1.0,-8.0,2.0,1.0,1.0,-6.0,11.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,30V,1,18,40,27,7,18,1,2,22,3,0,2,5,8,4,34,2,0,35,1,28,1,14,0,3,0,136,132,-1,-1,1,18,31,32,13,3,16,22,55,82,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,0.0,0.0,9.0,-5.0,-6.0,0.0,2.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,31V,0,20,43,33,14,14,2,1,31,3,2,1,3,7,2,50,0,0,35,1,36,1,14,0,6,0,158,132,-1,-1,2,21,36,37,15,3,19,25,65,93,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,-2.0,-1.0,7.0,-4.0,-1.0,0.0,-5.0,6.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,32V,1,24,30,34,19,16,1,3,36,4,6,0,9,4,2,45,2,3,35,1,34,1,17,0,3,1,164,132,-1,-1,2,22,38,39,16,3,19,25,71,92,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,-1.0,2.0,-8.0,-5.0,3.0,1.0,-3.0,11.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,33V,3,36,26,35,15,15,1,1,20,2,3,3,7,9,1,55,0,2,26,3,25,1,15,0,1,0,152,132,-1,-1,2,22,37,36,14,2,17,22,80,71,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,1.0,14.0,-11.0,-1.0,1.0,0.0,-2.0,-2.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,34V,2,22,46,43,9,12,0,2,18,2,2,3,8,10,2,57,0,4,25,1,30,1,10,0,0,0,154,132,-1,-1,2,24,38,36,14,2,17,21,86,67,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,0.0,-2.0,8.0,7.0,-5.0,0.0,-5.0,-3.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO EL NARANJAL,35V,4,23,34,39,9,21,1,0,22,1,5,1,7,4,1,48,5,1,29,2,29,0,18,0,3,0,153,132,-1,-1,2,21,36,36,15,3,17,23,72,81,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,2.0,2.0,-2.0,3.0,-6.0,-2.0,4.0,-1.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO LA PAZ,10M,1,20,37,25,20,14,1,4,28,5,1,2,8,5,1,1,16,2,15,30,0,41,0,28,0,0,150,132,-1,-1,1,16,32,35,16,3,19,28,36,114,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,0.0,4.0,5.0,-10.0,4.0,2.0,-5.0,0.0
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RENGO,COLEGIO LA PAZ,11M,2,13,28,37,13,19,1,3,28,4,0,2,4,3,0,2,26,2,7,43,0,29,0,23,0,4,144,132,-1,-1,1,16,31,34,15,3,18,26,39,106,0.01902417418560312,0.2153578170735483,0.29371813840081334,0.2355895778060841,0.07700874019185559,0.007377667113046705,0.07875344404688799,0.07317044118216091,0.005130517074218232,0.07241584192329159,0.18320923127279024,0.23609572108976798,0.11151369726605245,0.027649943264107083,0.14407415802110285,0.2199108900886697,1.0,-3.0,-3.0,3.0,-2.0,1.0,1.0,2.0
